SALMO,COMPOSITOR,HARMONIZAÇÃO,METRIFICAÇÃO,MODO,MÉTRICA,ORIGEM/MELODIA,TIPO,VÍDEO
61B,"Charles H. Parry, 1916",,"Comissão Brasileira de Salmodia, 2011",,8. 8. 8. 8,Jerusalem,Melodia harmônica,https://youtu.be/UIFfiEZ-rGU?feature=shared
62B,"Georg Neumark, 1641",,"Comissão Brasileira de Salmodia, 2014",,9. 8. 9. 8. 8. 8,Neumark,Melodia harmônica,
63B,Melodia tradicional irlandesa,,"Comissão Brasileira de Salmodia, 2006",,9. 9. 8. 6,St. Columbia,Melodia harmônica,https://youtu.be/DXejVjHzgw0?si=YR3b4uv-KBGXLAKH
64A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2021",Dórico,9 8 8. 9 5,"Saltério de Genebra, 1543",Genebrino,
65A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2020",Eólio,9 6. 9 6. 9 6. 9 6,"Saltério de Genebra, 1543",Genebrino,https://youtu.be/i2qReZV9mfw?si=0hvTQj7fjBZhsZ8W
66B,"Rowland Hugh Prichard, 1830",,"Comissão Brasileira de Salmodia, 2023",,8 7. 8 7. 8 7. 8 7,Hyfrydol,Melodia harmônica,
67B,"Lowell Mason, 1823",,"Comissão Brasileira de Salmodia, 2011",,7 7. 7 6 D,Missionary hymn,Melodia harmônica,https://youtu.be/xYXBVFpNc-Q?si=yx5UHAvOYQ7yQOuf
67A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2011 (rev. 2022)",Dórico,9 8. 9 8. 6 6 5. 6 6 5,"Saltério de Genebra, 1543",Genebrino,
68F,,,,,,,Inexistente,
69F,,,,,,,Inexistente,
70B,"Gustav Theodore Holst, 1918",,"Comissão Brasileira de Salmodia, 2022 (rev. 2023)",,8 6. 8 6. 8 6. 7 6. 8 6. 8 6,Thaxted,Melodia harmônica,https://youtu.be/XB2xZOZ8pIw?feature=shared
71F,,,,,,,Inexistente,
72F,,,,,,,Inexistente,
